Construct,pH,pGS_pH,pT_pH,pA_pH,kES1_pH,kES2_pH,kMinor_pH,kGStES1_pH,kES1tGS_pH,kGStES2_pH,kES2tGS_pH,kES1tES2_pH,kES2tES1_pH,pGS_pH_err,pT_pH_err,pA_pH_err,kES1_pH_err,kES2_pH_err,kMinor_pH_err,kGStES1_pH_err,kES1tGS_pH_err,kGStES2_pH_err,kES2tGS_pH_err,kES1tES2_pH_err,kES2tES1_pH_err
hpTG-CGC,8.4,0.999335958,0.000488001,0.00017604,649.6348657,11083.93058,6055.017376,0.317078439,649.3177873,1.952172362,11081.97841,1605.212183,4449.805193,0.000121473,0.000120369,1.6341e-05,323.485154,1565.775736,1707.227313,0.17618098,323.3272745,0.329965918,1565.499972,549.087602,1292.579591
hpUG-CGC,8.4,0.996665804,0.000839974,0.002494222,4927.764008,982.9099117,4850.568891,4.149544689,4923.614463,2.453656688,980.456255,3628.579417,1221.989473,0.000361835,4.51051e-05,0.000359013,280.0891248,197.2873114,503.2745251,0.324340464,279.8533574,0.605523961,196.7951347,401.8262929,189.2034053
dGrU,8,0.994795521129,0.00191222462678054,0.00329225424427273,3171.02705846223,4376.98753676293,9167.84337462509,6.08374526956,3164.94331319,14.437764043,4362.54977272,5799.40316961,3368.44020502,0.000696928388257,0.000472426839254439,0.000512369066114565,650.306221444659,463.265518669242,1821.05940843122,1.95116645534,649.06031595,2.71121054501,461.742839841,1309.24647887,913.663595915
dTrG,8,0.999044216706,0.000736789514765242,0.000218993779462321,5038.44038218469,9500.57904861219,6405.55122674367,3.71308318648,5034.727299,2.0821017837,9498.49694683,1467.67147025,4937.87975649,8.22223932067e-05,6.78795643268588e-05,4.63992100302738e-05,727.182336228408,2493.83574932195,4263.83065933905,0.635636793379,726.646518952,0.702300523542,2493.28925113,1011.31504654,3297.25828014
hpTG-CGC,7.4,0.999494392210451,0.000488001,1.7606789549309e-05,649.634865739,11082.0878792466,73733.2315822811,0.317078439,649.3177873,0.109469246557524,11081.97841,981.995946061005,72751.2356362201,0.000120374437723978,0.000120369,1.14415749088865e-06,323.32732250049,1565.49997997515,21135.4513081629,0.17618098,323.3272745,0.158019583388045,1565.499972,335.906869451139,21132.7818465715
hpUG-CGC,7.4,0.998910042637398,0.000839974,0.000249983362602373,4927.764007689,980.593845283612,22198.4824361629,4.149544689,4923.614463,0.13759028361154,980.456255,2219.80017046407,19978.6822656988,8.12311880776584e-05,4.51051e-05,6.75576484973975e-05,279.853545349686,196.795236478454,3103.09663900355,0.324340464,279.8533574,0.200147494632283,196.7951347,245.819085369178,3093.34474772266
dGrU,7.4,0.996878071144,0.00194373338411817,0.0011781954721006,3980.67986797746,4703.67256889499,12599.4811404888,7.74650725064,3972.93336073,5.55263857188,4698.11993032,4754.96153635,7844.51960414,0.000845329240963,0.000606491612375659,0.00058885435359279,862.962220673414,1709.93314632554,6232.70001569947,2.93936893209,861.286252087,3.42899565965,1707.91683665,2928.36627164,4254.52847931
dTrG,7.4,0.999208192712822,0.000736789514765242,5.5017772412653e-05,5038.44038218648,9498.59588076054,14095.8670461003,3.71308318648,5034.727299,0.0989339305424878,9498.49694683,1083.46647286787,13012.4005732324,6.79354068371038e-05,6.78795643268588e-05,2.75395150985803e-06,726.646796964792,2493.28925135348,8721.0162052024,0.635636793379,726.646518952,0.0333828585393395,2493.28925113,746.574399409873,8689.00168704947
hpTG-CGC,6.9,0.999506431177243,0.000488001,5.5678227571131e-06,649.634865739,11082.0043326331,294932.430892212,0.317078439,649.3177873,0.0259226331276926,11081.97841,768.065607638411,294164.365284574,0.000120369543796545,0.000120369,3.61818723212522e-07,323.32732250049,1565.49997242205,85449.280533997,0.17618098,323.3272745,0.0363514207991473,1565.499972,262.728695398176,85448.8766304762
hpUG-CGC,6.9,0.999080960804956,0.000839974,7.90651950439261e-05,4927.764007689,980.48883677576,82518.5693580043,4.149544689,4923.614463,0.0325817757603995,980.456255,1736.21100331652,80782.3583546878,4.99102161392116e-05,4.51051e-05,2.13672560019489e-05,279.853545349686,196.795140091038,12509.1936654894,0.324340464,279.8533574,0.046063654258469,196.7951347,192.26676640625,12507.7160045812
dGrU,6.9,0.997825467335232,0.00191222462678054,0.000262308037987931,3171.02705845956,4362.60393696201,23227.8586708415,6.08374526956,3164.94331319,0.0541642420061395,4362.54977272,3324.49318472679,19903.3654861147,0.000487502711795881,0.000472426839254439,0.000120298693095137,649.063248683555,461.742839953273,5450.55480019167,1.95116645534,649.06031595,0.0101824513765194,461.742839841,750.522229414783,5398.63538433989
dTrG,6.9,0.999245811683437,0.000736789514765242,1.73988017976778e-05,5038.44038218648,9498.50475797476,30018.1743853075,3.71308318648,5034.727299,0.00781114475606209,9498.49694683,841.338954641464,29176.835430666,6.7885151065314e-05,6.78795643268588e-05,8.70908695753543e-07,726.646796964792,2493.28925113139,19491.3907309187,0.635636793379,726.646518952,0.00263562417494602,2493.28925113,579.733790099642,19482.7672920959
