Folder,Offset,SLP,R1p,R1p_err,RedChiSq
939,2799,800,2.300348937810845,0.2851129062167972,0.21475106756145862
938,2488,800,2.5958056896951534,0.3230028897519723,1.8673079065938722
933,933,800,4.293771421470318,0.3111217346388108,1.5108590253742935
932,622,800,5.753733205257801,0.35820900353375945,0.8935372142853626
931,311,800,7.744573853836787,0.3735693389033867,0.7700336187001153
930,10,800,9.426352843062148,0.4163346137237366,3.283070931979819
937,2177,800,2.7241681494462897,0.29041196512388384,1.5029604136185468
936,1866,800,2.8767200689985715,0.3048028149782499,0.8391450661309189
935,1555,800,3.227166870982074,0.29419810817820774,4.215406540496818
934,1244,800,3.859481075883612,0.3077249420730829,0.12583911302989842
995,3500,1800,2.9711046176749223,0.3047977321618962,1.6253832983757999
994,2800,1800,3.63477545449305,0.2885853159194325,0.5904518501243788
997,4900,1800,2.5750547236330323,0.31235333562170864,2.548152038207753
996,4200,1800,2.674034538368257,0.3000068458232411,0.2036073740611524
991,700,1800,7.102493307990368,0.3845376738293526,1.3689362431020493
990,10,1800,8.473011209476892,0.3845562402306888,4.850736327167166
993,2100,1800,4.083545849304172,0.3423699697702322,0.717603803609135
992,1400,1800,5.258490464799731,0.36289614131457526,1.8954134121412847
998,5600,1800,2.7457102180557973,0.3020730935312224,2.095908695185268
928,-2488,800,4.18309131477621,0.3078694243099951,0.1669846135756082
929,-2799,800,3.981643789454958,0.3072197545864622,0.36472648815807995
920,-10,800,10.261206730725347,0.46263970704933316,4.715755383209093
921,-311,800,9.510739898946253,0.4104609735893251,1.9318810252214096
922,-622,800,7.848410597974593,0.41322875226706907,2.2534722897175405
923,-933,800,6.994198884589695,0.38187693363401165,3.5868161140028745
924,-1244,800,6.184088573397455,0.3543651292897006,0.8649990085527353
925,-1555,800,5.534622456304742,0.3707900419518666,0.17597048476008334
926,-1866,800,5.13306071199051,0.3586841485295644,0.11927273432469543
927,-2177,800,4.625298048406502,0.3313927004640234,3.0132249439718293
988,-5600,1800,2.8549786299410953,0.31268406834811935,1.3756947865137132
982,-1400,1800,8.020596458900776,0.409235644954327,0.07574607815170044
983,-2100,1800,6.437303261459449,0.357917303200266,0.643393055034974
980,-10,1800,9.645208704452957,0.4361078982711616,0.843898722811037
981,-700,1800,9.310469976044661,0.4395423955119709,0.1743550278697449
986,-4200,1800,3.4814791436185875,0.29546920403854865,1.4504466772715634
987,-4900,1800,3.207800839270517,0.33159292398239626,7.627821164979463
984,-2800,1800,5.3988916724266875,0.3259344808565465,1.2012252908386645
985,-3500,1800,4.11613941759048,0.33090555282211437,0.9375542924480595
919,2097,600,2.8261108120821756,0.2839462530478993,7.206210773983908
918,1864,600,2.599144236159411,0.2846388728235133,1.9901300655767074
915,1165,600,3.0955456479750123,0.3226741552529334,2.0586051432015027
914,932,600,3.809658907122065,0.33384308357193543,3.916947097891738
917,1631,600,2.8757259689150483,0.29551189375708425,3.3175483951542666
916,1398,600,2.945041213564828,0.3235477168527418,1.1015445617365704
911,233,600,7.73184238211659,0.40599272479232157,0.11620666519764793
910,10,600,9.836692172930977,0.47187715501996175,2.927618094353085
913,699,600,4.154324098603285,0.29267366323560395,2.4486165116767586
912,466,600,6.047007735538798,0.3591703772050531,0.08105094457428115
902,-466,600,8.068662917792041,0.4120086236607063,2.6429527471667886
903,-699,600,6.482547908756011,0.32766225898730983,2.5361778251961544
900,-10,600,10.57165148659173,0.48317454000848087,5.897890697531664
901,-233,600,9.720457051278586,0.44261151789626124,1.3804780278574276
906,-1398,600,4.385795594156644,0.3402291500123092,1.271231049283718
907,-1631,600,4.74712005500754,0.34570420258307205,2.4223178525455666
904,-932,600,5.670597275186782,0.3402002935737984,1.999966284841993
905,-1165,600,4.844749032483908,0.34090736781993813,0.7028245134433982
908,-1864,600,4.451744031525167,0.3259589810063668,5.40783234054779
909,-2097,600,4.158670160629521,0.2958439503024283,1.829111820109476
977,4081,1500,2.9471883612907055,0.3161663181869555,3.5725390581604217
976,3498,1500,2.8830049644659286,0.31275752818858804,0.642837298374776
975,2915,1500,3.0462207043699374,0.30641616024133683,0.4987985151528136
974,2332,1500,3.204446998108696,0.30898769566256745,5.040662768877555
973,1749,1500,4.329562560686989,0.3288188171149754,2.502852142443702
