Folder,Offset,SLP,R1p,R1p_err,RedChiSq
939,954,1000,5.150534007512415,0.16095674594720838,5.006853235301401
938,636,1000,6.24393592296759,0.1907622757432114,2.001489889896792
933,-2862,1000,4.048404447750443,0.16065936702034142,0.1944082604079448
932,-2544,1000,4.420412844140411,0.1535557139894043,0.5371159747847266
931,-2226,1000,4.620742003580232,0.17113417286296967,0.5300355342289833
930,-1908,1000,5.282037013816872,0.17026668042124962,0.13361585611409818
937,318,1000,8.016156995150649,0.21115388196283413,1.1085545874576015
936,10,1000,9.119590663752279,0.20973878222981365,1.331215619520636
935,-3498,1000,3.780789883179027,0.15122563217877724,0.20712677158647652
934,-3180,1000,3.8540561035109797,0.15583565669270064,1.0770860915548082
995,6996,2000,3.4740861045655658,0.17841999268335268,2.4723447678250015
994,6360,2000,2.908795485544683,0.14931898295193466,2.988394038202036
991,4452,2000,3.0425175222240632,0.14957278596658094,3.0023491285873884
990,3816,2000,3.374426893560947,0.16747713566742317,0.8895974088001515
993,5724,2000,2.9523888791223576,0.1703233484463537,0.4456056753877191
992,5088,2000,3.020695588702692,0.1532186283802378,0.392266923606432
928,-1272,1000,6.980677530918361,0.18349310685481404,1.6379646831007413
929,-1590,1000,5.97132496743336,0.1906765291011531,1.189328990804702
920,1784,700,3.0264439418659785,0.14355506663157838,0.054644843638771826
921,2007,700,2.9183136807947228,0.1481191263186926,0.8069234855290819
922,2230,700,2.8951501977980043,0.13876102034575702,0.1809704065046873
923,2453,700,2.6966062738796603,0.15648437160406342,0.3211650809445403
924,-10,1000,9.761295245156834,0.2405618409421029,1.9347079539754966
925,-318,1000,9.39485282628644,0.2313615424118848,0.07150875582021077
926,-636,1000,8.678281662626675,0.21358622901057422,0.07422488896964138
927,-954,1000,7.770422226796647,0.19951531953420476,0.6198807305473621
988,2544,2000,4.091371916500567,0.15736661946410438,0.4571568880122507
989,3180,2000,3.775311401546027,0.1694282922190989,0.09587536491693302
982,-6360,2000,3.188588715028992,0.161272257261329,0.7875008417192717
983,-6996,2000,3.6034647365014862,0.15146428389308994,4.844085749219395
980,-5088,2000,3.531603487199551,0.149160320050796,1.3696318428080718
981,-5724,2000,3.294773730515009,0.15274420042699208,0.28287959253881945
986,1272,2000,5.76752395534724,0.18863607788221887,2.968346656934855
987,1908,2000,4.817734586860083,0.16149973838990583,0.6857239210012561
